Data Test,Classe,Iniziali,Genere,WPM,Accuracy
11/12/2025,1A,B.G.,M,32,100
11/12/2025,1A,B.G.,M,39,96
11/12/2025,1A,B.J.,M,33,99
11/12/2025,1A,B.J.,M,34,100
11/12/2025,1A,B.J.,M,34,95
16/12/2025,1A,B.J.,M,33,97
16/12/2025,1A,B.J.,M,36,94
16/12/2025,1A,B.J.,M,37,96
16/12/2025,1A,B.J.,M,37,94
16/12/2025,1A,B.J.,M,35,92
16/12/2025,1A,B.J.,M,36,86
11/12/2025,1A,C.A.,F,13,99
11/12/2025,1A,C.A.,F,15,99
11/12/2025,1A,C.A.,F,15,99
27/11/2025,1A,D.P.N.,F,21,99
4/12/2025,1A,D.P.N.,F,25,100
11/12/2025,1A,D.P.N.,F,24,99
11/12/2025,1A,D.P.N.,F,25,100
11/12/2025,1A,D.P.N.,F,24,100
11/12/2025,1A,D.D.,M,15,100
11/12/2025,1A,D.D.,M,18,100
11/12/2025,1A,D.D.,M,20,100
11/12/2025,1A,I.A.M.,M,19,97
12/12/2025,1A,I.A.M.,M,22,99
11/12/2025,1A,I.A.M.,M,23,92
27/11/2025,1A,L.A.,F,34,97
11/12/2025,1A,L.A.,F,34,97
11/12/2025,1A,L.A.,F,39,95
11/12/2025,1A,L.A.,F,40,92
,1A,O.S.,M,,
,1A,P.F.,M,,
11/12/2025,1A,R.A.,M,24,99
11/12/2025,1A,R.A.,M,25,97
11/12/2025,1A,R.A.,M,23,100
11/12/2025,1A,R.R.,M,24,100
11/12/2025,1A,S.M.,M,31,100
11/12/2025,1A,S.M.,M,34,99
11/12/2025,1A,S.M.,M,35,98
27/11/2025,1A,T.G.S.,F,22,100
4/12/2025,1A,T.G.S.,F,25,100
11/12/2025,1A,T.G.S.,F,24,100
11/12/2025,1A,T.G.S.,F,25,100
11/12/2025,1A,T.G.S.,F,26,98
20/11/2025,1A,V.L.,M,23,97
4/12/2025,1A,V.L.,M,30,98
27/11/2025,1A,Z.D.,M,23,
11/12/2025,1A,Z.D.,M,20,100
11/12/2025,1A,Z.D.,M,20,100
11/12/2025,1A,Z.D.,M,13,100
11/12/2025,1A,Z.C.,F,25,97
11/12/2025,1A,Z.C.,F,25,100
11/12/2025,1A,Z.C.,F,24,98
11/12/2025,1A,Z.Y.A.,F,15,100
11/12/2025,1A,Z.Y.A.,F,16,100
11/12/2025,1A,Z.Y.A.,F,19,100
18/11/2025,1B,A.A.,F,11,97
11/11/2025,1B,B.N.,M,16,99
11/11/2025,1B,B.N.,M,24,100
18/11/2025,1B,B.N.,M,15,100
18/11/2025,1B,B.N.,M,15,100
18/11/2025,1B,B.N.,M,23,100
11/11/2025,1B,C.G.,M,44,99
11/11/2025,1B,C.G.,M,56,99
11/11/2025,1B,C.G.,M,57,100
11/11/2025,1B,C.G.,M,64,100
9/12/2025,1B,C.G.,M,63,100
9/12/2025,1B,C.G.,M,59,100
9/12/2025,1B,C.G.,M,67,100
9/12/2025,1B,C.G.,M,65,100
9/12/2025,1B,C.G.,M,70,100
16/12/2025,1B,C.G.,M,65,100
16/12/2025,1B,C.G.,M,61,100
16/12/2025,1B,C.G.,M,65,100
16/12/2025,1B,C.G.,M,68,100
18/11/2025,1B,C.M.,M,31,
18/11/2025,1B,C.M.,M,32,
18/11/2025,1B,C.M.,M,34,
16/12/2025,1B,C.M.,M,32,
16/12/2025,1B,C.M.,M,36,
16/12/2025,1B,C.M.,M,34,
16/12/2025,1B,C.M.,M,36,
9/12/2025,1B,C.V.,F,23,100
9/12/2025,1B,C.V.,F,21,98
9/12/2025,1B,C.V.,F,23,99
11/11/2025,1B,D.L.A.,M,23,100
11/11/2025,1B,D.L.A.,M,21,100
11/11/2025,1B,D.L.A.,M,26,100
18/11/2025,1B,D.L.A.,M,26,100
18/11/2025,1B,D.L.A.,M,26,100
18/11/2025,1B,D.L.A.,M,27,100
9/12/2025,1B,D.L.A.,M,27,100
9/12/2025,1B,D.L.A.,M,22,100
9/12/2025,1B,D.L.A.,M,27,100
16/12/2025,1B,D.L.A.,M,33,99
16/12/2025,1B,D.L.A.,M,32,99
16/12/2025,1B,D.L.A.,M,29,99
16/12/2025,1B,D.L.A.,M,30,96
11/11/2025,1B,F.P.,F,54,99
11/11/2025,1B,F.P.,F,63,92
11/11/2025,1B,F.P.,F,45,94
18/11/2025,1B,F.P.,F,30,97
18/11/2025,1B,F.P.,F,28,89
18/11/2025,1B,F.P.,F,35,91
18/11/2025,1B,F.P.,F,34,91
9/12/2025,1B,F.P.,F,42,98
9/12/2025,1B,F.P.,F,40,97
9/12/2025,1B,F.P.,F,38,98
11/11/2025,1B,H.T.,M,18,86
18/11/2025,1B,H.T.,M,22,94
18/11/2025,1B,H.T.,M,22,98
18/11/2025,1B,H.T.,M,23,99
16/12/2025,1B,H.T.,M,20,98
16/12/2025,1B,H.T.,M,25,98
16/12/2025,1B,H.T.,M,23,97
9/12/2025,1B,H.L.,F,11,100
9/12/2025,1B,H.L.,F,13,99
9/12/2025,1B,H.L.,F,18,88
16/12/2025,1B,K.F.,M,13,89
11/11/2025,1B,M.M.,F,21,100
11/11/2025,1B,M.M.,F,22,100
11/11/2025,1B,M.M.,F,23,93
18/11/2025,1B,M.M.,F,24,92
18/11/2025,1B,M.M.,F,22,85
18/11/2025,1B,M.M.,F,21,87
16/12/2025,1B,M.M.,F,23,83
16/12/2025,1B,M.M.,F,23,96
16/12/2025,1B,M.M.,F,23,85
16/12/2025,1B,M.M.,F,21,100
16/12/2025,1B,M.M.,F,20,100
16/12/2025,1B,M.M.,F,24,89
18/11/2025,1B,S.G.,F,11,99
18/11/2025,1B,S.G.,F,17,100
18/11/2025,1B,S.G.,F,18,100
16/12/2025,1B,S.G.,F,24,100
11/11/2025,1B,S.P.,M,18,100
11/11/2025,1B,S.P.,M,18,99
11/11/2025,1B,S.P.,M,18,100
18/11/2025,1B,S.P.,M,20,100
18/11/2025,1B,S.P.,M,22,100
18/11/2025,1B,S.P.,M,25,100
16/12/2025,1B,S.P.,M,33,100
16/12/2025,1B,S.P.,M,32,93
16/12/2025,1B,S.P.,M,35,100
16/12/2025,1B,S.P.,M,57,76
11/11/2025,1B,U.D.,M,17,100
18/11/2025,1B,U.D.,M,16,
18/11/2025,1B,U.D.,M,20,
